,회원번호,주문일시,전체물품명
0,20235968,2021-01-11,찌개용두부
1,20235968,2021-02-01,사과/$대파
2,20235968,2021-02-08,대파$찌개용두부
3,20235968,2021-08-21,콩나물$중파$찌개용두부$부추
4,20235968,2021-10-06,찌개용두부$사과$닭가슴살
5,20235968,2021-10-11,중파$찌개용두부
6,20636864,2021-01-15,두부$오분도미/유$월동무
7,20636864,2021-01-30,두부$콩나물$당근
8,20636864,2021-02-08,월동무
9,20636864,2021-02-14,떡국떡$두부$양파$오분도미/유$당근$대파
10,20636864,2021-02-15,떡국떡$떡국떡$오분도미/유$오분도미/유$대파$당면$당면
11,20636864,2021-03-05,두부
12,20636864,2021-03-20,콩나물
13,20636864,2021-03-26,당근
14,20636864,2021-04-03,떡국떡$두부$당근
15,20636864,2021-04-18,두부$양배추
16,20636864,2021-04-26,두부
17,20636864,2021-04-27,두부
18,20636864,2021-05-09,무$양배추
19,20636864,2021-05-18,당근
20,20636864,2021-05-21,당근
21,20636864,2021-05-30,두부
22,20636864,2021-06-12,당근
23,20636864,2021-06-20,무
24,20636864,2021-06-29,두부$당근
25,20636864,2021-07-02,두부$콩나물
26,20636864,2021-07-18,당근$명태참어묵$황토숙주나물
27,20636864,2021-07-31,찌개용두부
28,20636864,2021-08-21,오분도미/유
29,20636864,2021-08-23,콩국물$두부$당근
30,20636864,2021-09-08,두부
31,20636864,2021-09-21,두부$대파
32,20636864,2021-10-05,무
33,20636864,2021-10-11,두부
34,20636864,2021-10-22,두부
35,22112384,2021-06-11,상추
36,29868608,2021-03-21,찌개용두부
37,29868608,2021-09-05,두부
38,37188672,2021-02-23,콩나물
39,37188672,2021-03-03,유정란/친환경$콩나물$명태참어묵
40,37188672,2021-03-17,두부$참기름
41,37188672,2021-04-02,콩나물$당근$대파$양송이버섯
42,37188672,2021-04-14,유정란/친환경
43,37188672,2021-04-19,양파
44,37188672,2021-04-20,동물복지유정란$연두부$부추
45,37188672,2021-05-29,완숙토마토
46,37188672,2021-06-04,양배추
47,37188672,2021-06-16,콩나물$찌개용두부
48,37188672,2021-07-07,유정란/친환경
49,37188672,2021-07-11,두부$콩나물$가지
50,37188672,2021-07-12,찹쌀백미/유
51,37188672,2021-08-11,동물복지유정란$명태참어묵
52,37188672,2021-08-25,두부$참기름$무
53,37188672,2021-09-03,콩국물$두부$유정란/친환경
54,37188672,2021-09-15,참기름$명태참어묵
55,37188672,2021-10-06,동물복지유정란$명태참어묵
56,38842368,2021-01-19,두부$유정란/친환경$콩나물
57,38842368,2021-03-13,두부$콩나물
58,38842368,2021-04-05,콩나물
59,38842368,2021-04-13,유정란/친환경
60,38842368,2021-04-30,두부$유정란/친환경$콩나물
61,38842368,2021-05-11,두부$유정란/친환경
62,38842368,2021-05-23,두부
63,38842368,2021-06-18,두부
64,38842368,2021-06-20,유정란/친환경
65,38842368,2021-07-12,유정란/친환경$콩나물$완숙토마토$누룽지
66,38842368,2021-07-19,두부$양배추
67,38842368,2021-07-26,콩나물
68,38842368,2021-08-02,두부$유정란/친환경$유정란/친환경
69,38842368,2021-09-07,두부$콩나물$중파
70,38842368,2021-09-19,유정란/친환경$콩나물
71,38842368,2021-10-12,두부$유정란/친환경
72,38842368,2021-10-21,누룽지
73,38903616,2021-01-08,양배추
74,38903616,2021-01-23,찌개용두부
75,38903616,2021-01-31,유정란/친환경
76,38903616,2021-02-08,유정란/친환경
77,38903616,2021-02-09,콩나물$시금치$월동무$찌개용두부
78,38903616,2021-02-11,두부
79,38903616,2021-02-14,두부
80,38903616,2021-04-11,유정란/친환경$양파
81,38903616,2021-04-20,유정란/친환경
82,38903616,2021-04-27,찌개용두부
83,38903616,2021-04-30,유정란/친환경$찌개용두부
84,38903616,2021-06-08,유정란/친환경$양파
85,38918464,2021-01-03,유정란/친환경
86,38918464,2021-01-05,동물복지유정란$찹쌀백미/유
87,38918464,2021-01-12,두부$유정란/친환경$대파
88,38918464,2021-01-17,월동무
89,38918464,2021-01-28,동물복지유정란$백미/유
90,38918464,2021-01-29,두부$대파$깻잎$양배추
91,38918464,2021-02-02,콩나물
92,38918464,2021-02-23,시금치$대파
93,38918464,2021-02-26,어린잎채소
94,38918464,2021-03-08,시금치
95,38918464,2021-03-09,대파
96,38918464,2021-03-12,당근
97,38918464,2021-03-16,두부$동물복지유정란$어린잎채소$양배추
98,38918464,2021-03-20,두부$양파
99,38918464,2021-03-22,양배추
100,38918464,2021-03-30,유정란/친환경$시금치
101,38918464,2021-04-02,얼갈이
102,38918464,2021-04-06,양파
103,38918464,2021-04-10,깐마늘/난지형/유$대파
104,38918464,2021-04-12,두부
105,38918464,2021-04-16,양파
106,38918464,2021-04-24,중파
107,38918464,2021-04-25,유정란/친환경
108,38918464,2021-04-27,월동무
109,38918464,2021-04-30,양파
110,38918464,2021-05-03,참기름$중파
111,38918464,2021-05-11,두부$유정란/친환경$중파
112,38918464,2021-05-16,오이
113,38918464,2021-05-21,부추
114,38918464,2021-05-25,유정란/친환경$완숙토마토$중파
115,38918464,2021-05-28,오이$사과/$얼갈이$깻잎
