,회원번호,주문일시,전체물품명
0,18764160,2021-01-03,유정란/친환경
1,18949760,2021-09-30,두부
2,22990272,2021-01-08,대파
3,22990272,2021-02-13,참기름$월동무
4,22990272,2021-02-24,콩나물$찌개용두부
5,22990272,2021-02-27,참기름
6,22990272,2021-05-25,두부
7,22990272,2021-06-07,두부
8,22990272,2021-06-21,두부
9,22990272,2021-06-27,두부$팽이버섯
10,22990272,2021-07-10,참기름
11,22990272,2021-07-31,상추
12,22990272,2021-08-28,유정란/친환경
13,24883392,2021-01-03,유정란/친환경$오분도미/유$상추$월동무
14,24883392,2021-01-05,도토리묵
15,24883392,2021-01-08,상추
16,24883392,2021-01-12,양파
17,24883392,2021-01-16,월동무$대파$팽이버섯
18,24883392,2021-01-26,유정란/친환경$월동무$찌개용두부
19,24883392,2021-01-29,월동무
20,24883392,2021-02-06,유기농저지방우유$당근$찌개용두부
21,24883392,2021-02-14,양배추
22,24883392,2021-02-15,명태참어묵
23,24883392,2021-02-23,상추
24,24883392,2021-02-26,양파$당근
25,24883392,2021-03-01,월동무
26,24883392,2021-03-06,유기농저지방우유
27,24883392,2021-03-09,유정란/친환경
28,24883392,2021-03-13,상추$월동무$대파
29,24883392,2021-03-27,대파
30,24883392,2021-03-29,양파
31,24883392,2021-03-30,사과/$브로컬리
32,24883392,2021-04-09,두부$유정란/친환경$대파
33,24883392,2021-04-12,당근
34,24883392,2021-04-17,부추$양배추
35,24883392,2021-04-19,상추$월동무
36,24883392,2021-04-20,월동무$중파
37,24883392,2021-04-24,참외$찌개용두부
38,24883392,2021-05-01,딸기/$유기농우유$중파
39,24883392,2021-05-09,상추$애호박$브로컬리$얼갈이$깻잎
40,24883392,2021-05-12,중파
41,24883392,2021-05-16,오이$콩나물
42,24883392,2021-05-21,유정란/친환경$상추$중파$부추
43,24883392,2021-05-25,유정란/친환경
44,24883392,2021-05-28,오이$사과/$상추$상추$당근$찌개용두부
45,24883392,2021-05-31,양파$오이$깻잎
46,24883392,2021-06-05,유정란/친환경
47,24883392,2021-06-08,오이
48,24883392,2021-06-11,상추$완숙토마토$당근
49,24883392,2021-06-14,유정란/친환경$오이$깻잎$당면
50,24883392,2021-06-16,콩국물$얼갈이$찌개용두부
51,24883392,2021-06-23,유정란/친환경$양파$오이$상추$유기농우유$찌개용두부$깻잎
52,24883392,2021-06-27,사과/$상추$애호박$당근
53,24883392,2021-07-01,오이$당근$중파
54,24883392,2021-07-06,양파$상추$유기농우유
55,24883392,2021-07-10,오이
56,24883392,2021-07-12,오이$중파
57,24883392,2021-07-16,유정란/친환경$가지$도토리묵
58,24883392,2021-07-19,브로컬리$얼갈이$중파$깻잎
59,24883392,2021-07-21,오이$유기농우유$얼음식혜
60,24883392,2021-07-29,양파$상추
61,24883392,2021-08-02,콩국물$상추$유기농우유$깻잎
62,24883392,2021-08-06,오이$상추$애호박$완숙토마토
