,0,1,2,3,4,5,6,7,8,9,10,11,12
0,무,,,,,,,,,,,,
1,두부,,,,,,,,,,,,
2,콩나물,어린잎채소,쥬키니호박,,,,,,,,,,
3,유정란/친환경,콩나물,어린잎채소,,,,,,,,,,
4,양파,동물복지유정란,시금치,쥬키니호박,,,,,,,,,
5,유정란/친환경,,,,,,,,,,,,
6,동물복지유정란,콩나물,찌개용두부,,,,,,,,,,
7,유정란/친환경,양파,,,,,,,,,,,
8,두부,,,,,,,,,,,,
9,양송이버섯,,,,,,,,,,,,
10,양파,,,,,,,,,,,,
11,유정란/친환경,,,,,,,,,,,,
12,닭가슴살,,,,,,,,,,,,
13,유정란/친환경,,,,,,,,,,,,
14,어린잎채소,닭가슴살,,,,,,,,,,,
15,유정란/친환경,,,,,,,,,,,,
16,두부,,,,,,,,,,,,
17,당근,닭가슴살,,,,,,,,,,,
18,닭가슴살,,,,,,,,,,,,
19,유정란/친환경,,,,,,,,,,,,
20,오이,콩나물,,,,,,,,,,,
21,유정란/친환경,양파,콩나물,,,,,,,,,,
22,유정란/친환경,,,,,,,,,,,,
23,유정란/친환경,,,,,,,,,,,,
24,유정란/친환경,,,,,,,,,,,,
25,당근,,,,,,,,,,,,
26,유정란/친환경,,,,,,,,,,,,
27,두부,,,,,,,,,,,,
28,유정란/친환경,,,,,,,,,,,,
29,두부,유정란/친환경,콩나물,,,,,,,,,,
30,유정란/친환경,,,,,,,,,,,,
31,유정란/친환경,,,,,,,,,,,,
32,양파,,,,,,,,,,,,
33,양파,,,,,,,,,,,,
34,상큼한감귤&채소,,,,,,,,,,,,
35,하늘땅감자,,,,,,,,,,,,
36,감귤즙,,,,,,,,,,,,
37,상큼한감귤,,,,,,,,,,,,
38,시금치,,,,,,,,,,,,
39,콩나물,시금치,대파,찌개용두부,유기농성이시돌목장우유,,,,,,,,
40,양파,,,,,,,,,,,,
41,시금치,당근,대파,,,,,,,,,,
42,어린잎채소,,,,,,,,,,,,
43,당근,,,,,,,,,,,,
44,대파,,,,,,,,,,,,
45,동물복지유정란,당근,하늘바다새우,과일푸딩,상큼한포도,,,,,,,,
46,찌개용두부,,,,,,,,,,,,
47,유정란/친환경,,,,,,,,,,,,
48,유정란/친환경,애호박,,,,,,,,,,,
49,애호박,찌개용두부,,,,,,,,,,,
50,두부,,,,,,,,,,,,
51,콩나물,백미/유,,,,,,,,,,,
52,두부,,,,,,,,,,,,
53,두부,,,,,,,,,,,,
54,연두부,,,,,,,,,,,,
55,연두부,,,,,,,,,,,,
56,연두부,청경채,,,,,,,,,,,
57,오이,연두부,애호박,당근,,,,,,,,,
58,유기농우유,,,,,,,,,,,,
59,딸기잼,,,,,,,,,,,,
60,콩나물,,,,,,,,,,,,
61,콩나물,사과/,,,,,,,,,,,
62,오이,콩나물,,,,,,,,,,,
63,현미유,검은콩두유,구운도시락김,,,,,,,,,,
64,시금치,,,,,,,,,,,,
65,유정란/친환경,,,,,,,,,,,,
66,콩나물,,,,,,,,,,,,
67,콩나물,현미유,,,,,,,,,,,
68,유정란/친환경,양파,우유,양송이버섯,,,,,,,,,
69,당근,,,,,,,,,,,,
70,과일푸딩,,,,,,,,,,,,
71,백미/유,,,,,,,,,,,,
72,사과당근즙,,,,,,,,,,,,
73,청경채,,,,,,,,,,,,
74,청경채,,,,,,,,,,,,
75,청경채,,,,,,,,,,,,
76,유정란/친환경,브로컬리,,,,,,,,,,,
77,현미유,,,,,,,,,,,,
78,유정란/친환경,얼음식혜,,,,,,,,,,,
79,유기농우유,,,,,,,,,,,,
80,유정란/친환경,,,,,,,,,,,,
81,중파,,,,,,,,,,,,
82,찌개용두부,,,,,,,,,,,,
83,가지,,,,,,,,,,,,
84,백미/유,,,,,,,,,,,,
85,명태참어묵,,,,,,,,,,,,
86,사과/,,,,,,,,,,,,
87,사과당근즙,,,,,,,,,,,,
88,유정란/친환경,,,,,,,,,,,,
89,유기농성이시돌목장우유,,,,,,,,,,,,
90,오이,당근,,,,,,,,,,,
91,유정란/친환경,,,,,,,,,,,,
92,쥬키니호박,,,,,,,,,,,,
93,무,찌개용두부,,,,,,,,,,,
94,양파,브로컬리,쥬키니호박,,,,,,,,,,
95,두부,,,,,,,,,,,,
96,오이,단무지,,,,,,,,,,,
97,양파,콩나물,당근,,,,,,,,,,
98,콩나물,,,,,,,,,,,,
99,두부,브로컬리,청경채,상큼한감귤,,,,,,,,,
100,양파,콩나물,청경채,,,,,,,,,,
101,청경채,양송이버섯,,,,,,,,,,,
102,두부,두부,어린잎채소,,,,,,,,,,
103,두부,양파,당근,상큼한감귤&한라봉,,,,,,,,,
104,당근,,,,,,,,,,,,
105,양파,콩나물,당근,하늘바다새우,,,,,,,,,
106,브로컬리,,,,,,,,,,,,
107,당근,,,,,,,,,,,,
108,당근,,,,,,,,,,,,
109,팽이버섯,,,,,,,,,,,,
110,콩나물,,,,,,,,,,,,
111,두부,,,,,,,,,,,,
112,오이,,,,,,,,,,,,
113,오이,중파,,,,,,,,,,,
114,애호박,당근,,,,,,,,,,,
115,우유,,,,,,,,,,,,
116,양송이버섯,,,,,,,,,,,,
117,두부,콩나물,팽이버섯,청경채,양송이버섯,,,,,,,,
118,두부,,,,,,,,,,,,
119,두부,양송이버섯,,,,,,,,,,,
120,청경채,,,,,,,,,,,,
121,양송이버섯,,,,,,,,,,,,
122,중파,,,,,,,,,,,,
123,쥬키니호박,,,,,,,,,,,,
124,동물복지유정란,,,,,,,,,,,,
125,시금치,,,,,,,,,,,,
126,두부,양배추,,,,,,,,,,,
127,얼음식혜,,,,,,,,,,,,
128,콩나물,,,,,,,,,,,,
129,브로컬리,,,,,,,,,,,,
130,두부,두부,중파,,,,,,,,,,
131,양파,,,,,,,,,,,,
132,두부,콩나물,브로컬리,중파,쥬키니호박,,,,,,,,
133,가지,,,,,,,,,,,,
134,유정란/친환경,,,,,,,,,,,,
135,7곡딸기롤과자,,,,,,,,,,,,
136,두부,,,,,,,,,,,,
137,얼음식혜,,,,,,,,,,,,
138,가지,,,,,,,,,,,,
139,두부,,,,,,,,,,,,
140,유정란/친환경,,,,,,,,,,,,
141,양파,,,,,,,,,,,,
142,두부,유정란/친환경,,,,,,,,,,,
143,콩나물,,,,,,,,,,,,
144,동물복지유정란,콩나물,사과당근즙,,,,,,,,,,
145,백미/유,,,,,,,,,,,,
146,유정란/친환경,,,,,,,,,,,,
147,동물복지유정란,,,,,,,,,,,,
148,단무지,,,,,,,,,,,,
149,사과당근즙,,,,,,,,,,,,
150,과일푸딩,사과당근즙,,,,,,,,,,,
151,당근,,,,,,,,,,,,
152,하늘바다새우,,,,,,,,,,,,
153,양파,애호박,사과당근즙,상큼한포도,,,,,,,,,
154,유정란/친환경,하늘바다새우,밥풀과자,,,,,,,,,,
155,팽이버섯,,,,,,,,,,,,
156,대파,,,,,,,,,,,,
157,찌개용두부,,,,,,,,,,,,
158,양파,대파,,,,,,,,,,,
159,양파,중파,,,,,,,,,,,
160,콩나물,,,,,,,,,,,,
161,현미유,,,,,,,,,,,,
162,브로컬리,,,,,,,,,,,,
163,유정란/친환경,,,,,,,,,,,,
164,두부,중파,,,,,,,,,,,
165,누룽지,,,,,,,,,,,,
166,어린잎채소,,,,,,,,,,,,
167,중파,팽이버섯,,,,,,,,,,,
168,두부,유정란/친환경,양배추,,,,,,,,,,
169,두부,백미/유,,,,,,,,,,,
170,과일푸딩,과일푸딩,사과당근즙,,,,,,,,,,
171,딸기잼,쥬키니호박,,,,,,,,,,,
172,백미/유,당근,,,,,,,,,,,
173,청경채,,,,,,,,,,,,
174,찌개용두부,,,,,,,,,,,,
175,양배추,,,,,,,,,,,,
176,연두부,사과당근즙,상큼한포도,,,,,,,,,,
177,카스텔라,,,,,,,,,,,,
178,두부,양파,양배추,닭가슴살,,,,,,,,,
179,사과당근즙,밥풀과자,,,,,,,,,,,
180,두부,7곡딸기롤과자,,,,,,,,,,,
181,유정란/친환경,현미유,,,,,,,,,,,
182,시금치,사과당근즙,,,,,,,,,,,
183,과일푸딩,,,,,,,,,,,,
184,당근,단무지,상큼한포도,,,,,,,,,,
185,카스텔라,,,,,,,,,,,,
186,두부,,,,,,,,,,,,
187,양파,,,,,,,,,,,,
188,두부,현미유,,,,,,,,,,,
189,애호박,검은콩두유,가지,사과당근즙,상큼한포도,,,,,,,,
190,두부,방울토마토/대추형,애호박,양배추,,,,,,,,,
191,오이,청경채,상큼한포도,,,,,,,,,,
192,콩나물,애호박,카스텔라,,,,,,,,,,
193,상큼한포도,,,,,,,,,,,,
194,현미유,과일푸딩,,,,,,,,,,,
195,누룽지,,,,,,,,,,,,
196,방울토마토/대추형,방울토마토/대추형,,,,,,,,,,,
197,콩나물,청경채,,,,,,,,,,,
198,카스텔라,,,,,,,,,,,,
199,콩나물,과일푸딩,,,,,,,,,,,
200,콩나물,찌개용두부,,,,,,,,,,,
201,카스텔라,,,,,,,,,,,,
202,시금치,당근,,,,,,,,,,,
203,시금치,명태참어묵,하늘바다새우,,,,,,,,,,
204,현미유,,,,,,,,,,,,
205,대파,찌개용두부,,,,,,,,,,,
206,시금치,,,,,,,,,,,,
207,유정란/친환경,현미유,,,,,,,,,,,
208,당근,찌개용두부,,,,,,,,,,,
209,시금치,,,,,,,,,,,,
210,대파,,,,,,,,,,,,
211,백미/유,,,,,,,,,,,,
212,백미/유,백미/유,,,,,,,,,,,
213,청경채,,,,,,,,,,,,
214,카스텔라,,,,,,,,,,,,
215,오이,콩나물,카스텔라,,,,,,,,,,
216,찌개용두부,,,,,,,,,,,,
217,애호박,찌개용두부,,,,,,,,,,,
218,두부,오이,애호박,,,,,,,,,,
219,오이,당근,중파,,,,,,,,,,
220,두부,애호박,,,,,,,,,,,
221,가지,,,,,,,,,,,,
222,현미유,,,,,,,,,,,,
223,양파,중파,,,,,,,,,,,
224,오이,애호박,양배추,,,,,,,,,,
225,카스텔라,,,,,,,,,,,,
