,0,1,2,3,4,5,6,7,8,9,10,11
0,두부,콩나물,대파,느타리버섯,,,,,,,,
1,두부,유정란/친환경,사골곰국,시금치,느타리버섯,,,,,,,
2,유정란/친환경,양파,애호박,가지,과일푸딩,,,,,,,
3,콩국물,사골곰국,,,,,,,,,,
4,팽이버섯,무쌈,,,,,,,,,,
5,오이,,,,,,,,,,,
6,깐마늘/난지형/유,중파,,,,,,,,,,
7,도토리묵,,,,,,,,,,,
8,당근,,,,,,,,,,,
9,양파,,,,,,,,,,,
10,찌개용두부,도토리묵,,,,,,,,,,
11,도토리묵,,,,,,,,,,,
12,팽이버섯,찌개용두부,,,,,,,,,,
13,두부,딸기잼,,,,,,,,,,
14,구운전장김,,,,,,,,,,,
15,오이,,,,,,,,,,,
16,찌개용두부,,,,,,,,,,,
17,단무지,,,,,,,,,,,
18,방울토마토/대추형,,,,,,,,,,,
19,찌개용두부,,,,,,,,,,,
20,양파,,,,,,,,,,,
21,유정란/친환경,찌개용두부,,,,,,,,,,
22,두부,찌개용두부,단무지,무쌈,,,,,,,,
23,두부,양파,동물복지유정란,느타리버섯,,,,,,,,
24,두부,누룽지,단무지,,,,,,,,,
25,콩국물,유정란/친환경,양파,연두부,당근,중파,,,,,,
26,유정란/친환경,시금치,당근,,,,,,,,,
27,두부,상추,중파,유기농성이시돌목장우유,깻잎,,,,,,,
28,유정란/친환경,백미/유,,,,,,,,,,
29,두부,당근,,,,,,,,,,
30,두부,콩나물,,,,,,,,,,
31,콩국물,유기농성이시돌목장우유,,,,,,,,,,
32,유기농우유,,,,,,,,,,,
33,콩나물,깻잎,,,,,,,,,,
34,백미/유,,,,,,,,,,,
35,백미/유,,,,,,,,,,,
36,완숙토마토,,,,,,,,,,,
37,동물복지유정란,,,,,,,,,,,
38,시금치,깐마늘/난지형/유,,,,,,,,,,
39,검은콩두유,,,,,,,,,,,
40,시금치,느타리버섯,,,,,,,,,,
41,시금치,느타리버섯,,,,,,,,,,
42,두부,상추,시금치,,,,,,,,,
43,브로컬리,,,,,,,,,,,
44,두부,오이,검은콩두유,,,,,,,,,
45,두부,가지,과일푸딩,,,,,,,,,
46,팽이버섯,,,,,,,,,,,
47,동물복지유정란,누룽지,,,,,,,,,,
48,찌개용두부,느타리버섯,,,,,,,,,,
49,백미/유,,,,,,,,,,,
50,백미/유,,,,,,,,,,,
51,유정란/친환경,,,,,,,,,,,
52,완숙토마토,,,,,,,,,,,
53,완숙토마토,,,,,,,,,,,
54,유정란/친환경,,,,,,,,,,,
55,명태참어묵,,,,,,,,,,,
56,애호박,얼음식혜,가지,,,,,,,,,
57,상추,,,,,,,,,,,
58,두부,찌개용두부,,,,,,,,,,
59,어린잎채소,,,,,,,,,,,
60,백미/유,,,,,,,,,,,
61,구운전장김,,,,,,,,,,,
62,브로컬리,,,,,,,,,,,
63,두부,,,,,,,,,,,
64,두부,검은콩두유,,,,,,,,,,
65,어린잎채소,,,,,,,,,,,
66,양파,,,,,,,,,,,
67,유정란/친환경,사과/,어린잎채소,,,,,,,,,
68,유정란/친환경,양파,시금치,,,,,,,,,
69,양파,오이,,,,,,,,,,
70,깻잎,,,,,,,,,,,
71,누룽지,유기농우유,,,,,,,,,,
72,유기농우유,가지,,,,,,,,,,
73,얼음식혜,,,,,,,,,,,
74,떡국떡,,,,,,,,,,,
75,유정란/친환경,오이,대파,,,,,,,,,
76,과일푸딩,,,,,,,,,,,
77,유기농저지방우유,,,,,,,,,,,
78,두부,,,,,,,,,,,
79,동물복지유정란,,,,,,,,,,,
80,유기농저지방우유,구운도시락김,,,,,,,,,,
81,두부,유기농저지방우유,,,,,,,,,,
82,두부,딸기잼,동물복지유정란,시금치,유기농저지방우유,유기농성이시돌목장우유,구운도시락김,,,,,
83,유정란/친환경,백미/유,당근,,,,,,,,,
84,두부,양파,동물복지유정란,대파,도토리묵,,,,,,,
85,두부,유정란/친환경,쌈채소모음,,,,,,,,,
86,유기농저지방우유,,,,,,,,,,,
87,떡국떡,백미/유,,,,,,,,,,
88,유기농저지방우유,유기농성이시돌목장우유,,,,,,,,,,
89,두부,동물복지유정란,콩나물,유기농저지방우유,쌈채소모음,,,,,,,
90,두부,시금치,,,,,,,,,,
91,두부,동물복지유정란,콩나물,유기농저지방우유,얼음식혜,도토리묵,,,,,,
92,백미/유,,,,,,,,,,,
93,양파,대파,유기농성이시돌목장우유,,,,,,,,,
94,유기농저지방우유,,,,,,,,,,,
95,시금치,유기농저지방우유,대파,구운도시락김,,,,,,,,
96,유정란/친환경,시금치,구운김밥김,,,,,,,,,
97,콩나물,,,,,,,,,,,
98,유정란/친환경,시금치,,,,,,,,,,
99,딸기잼,구운도시락김,,,,,,,,,,
100,두부,유기농저지방우유,,,,,,,,,,
101,유정란/친환경,시금치,도토리묵,,,,,,,,,
102,유기농저지방우유,,,,,,,,,,,
103,두부,느타리버섯,,,,,,,,,,
104,브로컬리,,,,,,,,,,,
105,떡국떡,유정란/친환경,,,,,,,,,,
106,깐마늘/난지형/유,,,,,,,,,,,
107,양파,유기농저지방우유,구운도시락김,,,,,,,,,
108,시금치,,,,,,,,,,,
109,시금치,백미/유,,,,,,,,,,
110,현미유,,,,,,,,,,,
111,유정란/친환경,딸기잼,,,,,,,,,,
112,브로컬리,중파,얼음식혜,도토리묵,,,,,,,,
113,유정란/친환경,오이,구운도시락김,무쌈,,,,,,,,
114,사과/,유기농저지방우유,,,,,,,,,,
115,백미/유,,,,,,,,,,,
116,사골곰국,사과당근즙,,,,,,,,,,
117,오이,콩나물,깐마늘/난지형/유,당근,,,,,,,,
118,대파,팽이버섯,,,,,,,,,,
119,콩나물,,,,,,,,,,,
120,양파,유기농저지방우유,느타리버섯,,,,,,,,,
121,오이,유기농우유,얼음식혜,,,,,,,,,
122,오이,애호박,유기농저지방우유,구운도시락김,,,,,,,,
123,브로컬리,유기농저지방우유,얼음식혜,무쌈,,,,,,,,
124,유기농저지방우유,쌈채소모음,,,,,,,,,,
125,구운도시락김,,,,,,,,,,,
126,상추,시금치,브로컬리,유기농저지방우유,깐마늘/난지형/유,구운도시락김,느타리버섯,,,,,
127,유기농저지방우유,,,,,,,,,,,
128,유정란/친환경,유기농저지방우유,구운도시락김,,,,,,,,,
129,콩나물,당근,,,,,,,,,,
130,유정란/친환경,,,,,,,,,,,
