,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,사과/,,,,,,,,,,,,,,,,
1,대파,유기농우유,,,,,,,,,,,,,,,
2,두부,월동무,,,,,,,,,,,,,,,
3,두부,,,,,,,,,,,,,,,,
4,콩나물,,,,,,,,,,,,,,,,
5,명태참어묵,,,,,,,,,,,,,,,,
6,유정란/친환경,시금치,당근,,,,,,,,,,,,,,
7,사과/,,,,,,,,,,,,,,,,
8,앞다리불고기-성남용인,,,,,,,,,,,,,,,,
9,양파,대파,,,,,,,,,,,,,,,
10,브로컬리,,,,,,,,,,,,,,,,
11,시금치,명태참어묵,,,,,,,,,,,,,,,
12,양파,사과/,,,,,,,,,,,,,,,
13,두부,대파,검은콩두유,,,,,,,,,,,,,,
14,유정란/친환경,,,,,,,,,,,,,,,,
15,시금치,,,,,,,,,,,,,,,,
16,양파,사과/,,,,,,,,,,,,,,,
17,콩나물,,,,,,,,,,,,,,,,
18,깐마늘/난지형/유,,,,,,,,,,,,,,,,
19,오이,앞다리불고기-성남용인,,,,,,,,,,,,,,,
20,두부,,,,,,,,,,,,,,,,
21,당근,,,,,,,,,,,,,,,,
22,양파,,,,,,,,,,,,,,,,
23,유정란/친환경,오이,닭가슴살,,,,,,,,,,,,,,
24,양파,중파,,,,,,,,,,,,,,,
25,유정란/친환경,콩나물,앞다리불고기-성남용인,,,,,,,,,,,,,,
26,유정란/친환경,무,유기농저지방우유,,,,,,,,,,,,,,
27,시금치,,,,,,,,,,,,,,,,
28,누룽지,중파,,,,,,,,,,,,,,,
29,양파,,,,,,,,,,,,,,,,
30,유기농우유,,,,,,,,,,,,,,,,
31,두부,앞다리불고기-성남용인,완숙토마토,유기농성이시돌목장우유,,,,,,,,,,,,,
32,중파,부추,,,,,,,,,,,,,,,
33,중파,가지,,,,,,,,,,,,,,,
34,쌈채소모음,,,,,,,,,,,,,,,,
35,중파,,,,,,,,,,,,,,,,
36,오이,단무지,,,,,,,,,,,,,,,
37,유정란/친환경,애호박,,,,,,,,,,,,,,,
38,콩국물,,,,,,,,,,,,,,,,
39,사골곰국,,,,,,,,,,,,,,,,
40,완숙토마토,유기농우유,,,,,,,,,,,,,,,
41,중파,,,,,,,,,,,,,,,,
42,앞다리불고기-성남용인,명태참어묵,중파,,,,,,,,,,,,,,
43,양배추,,,,,,,,,,,,,,,,
44,유기농저지방우유,중파,,,,,,,,,,,,,,,
45,명태참어묵,부추,,,,,,,,,,,,,,,
46,유정란/친환경,,,,,,,,,,,,,,,,
47,중파,닭가슴살,,,,,,,,,,,,,,,
48,떡국떡,유정란/친환경,양파,닭가슴살,,,,,,,,,,,,,
49,당근,,,,,,,,,,,,,,,,
50,양파,,,,,,,,,,,,,,,,
51,앞다리불고기-성남용인,,,,,,,,,,,,,,,,
52,깻잎,,,,,,,,,,,,,,,,
53,유정란/친환경,콩나물,,,,,,,,,,,,,,,
54,양파,콩나물,상추,브로컬리,쌈채소모음,팽이버섯,유기농성이시돌목장우유,,,,,,,,,,
55,떡국떡,콩나물,상추,브로컬리,월동무,대파,유기농성이시돌목장우유,,,,,,,,,,
56,유정란/친환경,깐마늘/난지형/유,대파,팽이버섯,,,,,,,,,,,,,
57,두부,,,,,,,,,,,,,,,,
58,시금치,당근,대파,얼음식혜,유기농성이시돌목장우유,,,,,,,,,,,,
59,두부,얼음식혜,느타리버섯,,,,,,,,,,,,,,
60,두부,깐마늘/난지형/유,대파,,,,,,,,,,,,,,
61,양파,,,,,,,,,,,,,,,,
62,콩나물,,,,,,,,,,,,,,,,
63,대파,깻잎,양배추,,,,,,,,,,,,,,
64,양파,딸기/,브로컬리,,,,,,,,,,,,,,
65,오이,상추,상추,당근,대파,,,,,,,,,,,,
66,떡국떡,사골곰국,,,,,,,,,,,,,,,
67,떡국떡,사골곰국,오이,콩나물,콩나물,상추,유기농우유,중파,중파,,,,,,,,
68,동물복지유정란,깻잎,,,,,,,,,,,,,,,
69,떡국떡,,,,,,,,,,,,,,,,
70,떡국떡,부추,감자라면,,,,,,,,,,,,,,
71,양파,부추,깻잎,,,,,,,,,,,,,,
72,두부,가지,감자라면,,,,,,,,,,,,,,
73,유정란/친환경,깻잎,,,,,,,,,,,,,,,
74,유정란/친환경,가지,유기농성이시돌목장우유,,,,,,,,,,,,,,
75,떡국떡,두부,유정란/친환경,방울토마토/대추형,가지,,,,,,,,,,,,
