,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,찌개용두부,,,,,,,,,,,,,
1,사과/,대파,,,,,,,,,,,,
2,대파,찌개용두부,,,,,,,,,,,,
3,콩나물,중파,찌개용두부,부추,,,,,,,,,,
4,찌개용두부,사과,닭가슴살,,,,,,,,,,,
5,중파,찌개용두부,,,,,,,,,,,,
6,두부,오분도미/유,월동무,,,,,,,,,,,
7,두부,콩나물,당근,,,,,,,,,,,
8,월동무,,,,,,,,,,,,,
9,떡국떡,두부,양파,오분도미/유,당근,대파,,,,,,,,
10,떡국떡,떡국떡,오분도미/유,오분도미/유,대파,당면,당면,,,,,,,
11,두부,,,,,,,,,,,,,
12,콩나물,,,,,,,,,,,,,
13,당근,,,,,,,,,,,,,
14,떡국떡,두부,당근,,,,,,,,,,,
15,두부,양배추,,,,,,,,,,,,
16,두부,,,,,,,,,,,,,
17,두부,,,,,,,,,,,,,
18,무,양배추,,,,,,,,,,,,
19,당근,,,,,,,,,,,,,
20,당근,,,,,,,,,,,,,
21,두부,,,,,,,,,,,,,
22,당근,,,,,,,,,,,,,
23,무,,,,,,,,,,,,,
24,두부,당근,,,,,,,,,,,,
25,두부,콩나물,,,,,,,,,,,,
26,당근,명태참어묵,황토숙주나물,,,,,,,,,,,
27,찌개용두부,,,,,,,,,,,,,
28,오분도미/유,,,,,,,,,,,,,
29,콩국물,두부,당근,,,,,,,,,,,
30,두부,,,,,,,,,,,,,
31,두부,대파,,,,,,,,,,,,
32,무,,,,,,,,,,,,,
33,두부,,,,,,,,,,,,,
34,두부,,,,,,,,,,,,,
35,상추,,,,,,,,,,,,,
36,찌개용두부,,,,,,,,,,,,,
37,두부,,,,,,,,,,,,,
38,콩나물,,,,,,,,,,,,,
39,유정란/친환경,콩나물,명태참어묵,,,,,,,,,,,
40,두부,참기름,,,,,,,,,,,,
41,콩나물,당근,대파,양송이버섯,,,,,,,,,,
42,유정란/친환경,,,,,,,,,,,,,
43,양파,,,,,,,,,,,,,
44,동물복지유정란,연두부,부추,,,,,,,,,,,
45,완숙토마토,,,,,,,,,,,,,
46,양배추,,,,,,,,,,,,,
47,콩나물,찌개용두부,,,,,,,,,,,,
48,유정란/친환경,,,,,,,,,,,,,
49,두부,콩나물,가지,,,,,,,,,,,
50,찹쌀백미/유,,,,,,,,,,,,,
51,동물복지유정란,명태참어묵,,,,,,,,,,,,
52,두부,참기름,무,,,,,,,,,,,
53,콩국물,두부,유정란/친환경,,,,,,,,,,,
54,참기름,명태참어묵,,,,,,,,,,,,
55,동물복지유정란,명태참어묵,,,,,,,,,,,,
56,두부,유정란/친환경,콩나물,,,,,,,,,,,
57,두부,콩나물,,,,,,,,,,,,
58,콩나물,,,,,,,,,,,,,
59,유정란/친환경,,,,,,,,,,,,,
60,두부,유정란/친환경,콩나물,,,,,,,,,,,
61,두부,유정란/친환경,,,,,,,,,,,,
62,두부,,,,,,,,,,,,,
63,두부,,,,,,,,,,,,,
64,유정란/친환경,,,,,,,,,,,,,
65,유정란/친환경,콩나물,완숙토마토,누룽지,,,,,,,,,,
66,두부,양배추,,,,,,,,,,,,
67,콩나물,,,,,,,,,,,,,
68,두부,유정란/친환경,유정란/친환경,,,,,,,,,,,
69,두부,콩나물,중파,,,,,,,,,,,
70,유정란/친환경,콩나물,,,,,,,,,,,,
71,두부,유정란/친환경,,,,,,,,,,,,
72,누룽지,,,,,,,,,,,,,
73,양배추,,,,,,,,,,,,,
74,찌개용두부,,,,,,,,,,,,,
75,유정란/친환경,,,,,,,,,,,,,
76,유정란/친환경,,,,,,,,,,,,,
77,콩나물,시금치,월동무,찌개용두부,,,,,,,,,,
78,두부,,,,,,,,,,,,,
79,두부,,,,,,,,,,,,,
80,유정란/친환경,양파,,,,,,,,,,,,
81,유정란/친환경,,,,,,,,,,,,,
82,찌개용두부,,,,,,,,,,,,,
83,유정란/친환경,찌개용두부,,,,,,,,,,,,
84,유정란/친환경,양파,,,,,,,,,,,,
85,유정란/친환경,,,,,,,,,,,,,
86,동물복지유정란,찹쌀백미/유,,,,,,,,,,,,
87,두부,유정란/친환경,대파,,,,,,,,,,,
88,월동무,,,,,,,,,,,,,
89,동물복지유정란,백미/유,,,,,,,,,,,,
90,두부,대파,깻잎,양배추,,,,,,,,,,
91,콩나물,,,,,,,,,,,,,
92,시금치,대파,,,,,,,,,,,,
93,어린잎채소,,,,,,,,,,,,,
94,시금치,,,,,,,,,,,,,
95,대파,,,,,,,,,,,,,
96,당근,,,,,,,,,,,,,
97,두부,동물복지유정란,어린잎채소,양배추,,,,,,,,,,
98,두부,양파,,,,,,,,,,,,
99,양배추,,,,,,,,,,,,,
100,유정란/친환경,시금치,,,,,,,,,,,,
101,얼갈이,,,,,,,,,,,,,
102,양파,,,,,,,,,,,,,
103,깐마늘/난지형/유,대파,,,,,,,,,,,,
104,두부,,,,,,,,,,,,,
105,양파,,,,,,,,,,,,,
106,중파,,,,,,,,,,,,,
107,유정란/친환경,,,,,,,,,,,,,
108,월동무,,,,,,,,,,,,,
109,양파,,,,,,,,,,,,,
110,참기름,중파,,,,,,,,,,,,
111,두부,유정란/친환경,중파,,,,,,,,,,,
112,오이,,,,,,,,,,,,,
113,부추,,,,,,,,,,,,,
114,유정란/친환경,완숙토마토,중파,,,,,,,,,,,
115,오이,사과/,얼갈이,깻잎,,,,,,,,,,
116,콩나물,애호박,중파,,,,,,,,,,,
117,연두부,,,,,,,,,,,,,
118,오이,,,,,,,,,,,,,
119,콩국물,유정란/친환경,시금치,부추,,,,,,,,,,
120,양파,오이,애호박,얼갈이,,,,,,,,,,
121,무,,,,,,,,,,,,,
122,참기름,,,,,,,,,,,,,
123,동물복지유정란,오이,중파,가지,,,,,,,,,,
124,유정란/친환경,얼갈이,가지,,,,,,,,,,,
125,오이,무,,,,,,,,,,,,
126,가지,,,,,,,,,,,,,
127,오이,중파,,,,,,,,,,,,
128,두부,동물복지유정란,오이,애호박,중파,가지,가지,양송이버섯,,,,,,
129,오이,얼갈이,얼갈이,,,,,,,,,,,
130,오이,,,,,,,,,,,,,
131,오이,가지,,,,,,,,,,,,
132,유정란/친환경,콩나물,쌈채소모음,,,,,,,,,,,
133,참기름,,,,,,,,,,,,,
134,부추,,,,,,,,,,,,,
135,양배추,,,,,,,,,,,,,
136,무,,,,,,,,,,,,,
137,유정란/친환경,사과,,,,,,,,,,,,
138,오이,,,,,,,,,,,,,
139,오이,참기름,,,,,,,,,,,,
140,두부,대파,,,,,,,,,,,,
141,무,얼갈이,,,,,,,,,,,,
142,유정란/친환경,,,,,,,,,,,,,
143,오이,콩나물,,,,,,,,,,,,
144,두부,어린잎채소,얼갈이,,,,,,,,,,,
145,오이,,,,,,,,,,,,,
146,애호박,,,,,,,,,,,,,
147,얼갈이,,,,,,,,,,,,,
148,두부,어린잎채소,,,,,,,,,,,,
149,중파,,,,,,,,,,,,,
150,중파,,,,,,,,,,,,,
151,양송이버섯,,,,,,,,,,,,,
152,참기름,,,,,,,,,,,,,
153,참기름,,,,,,,,,,,,,
154,유정란/친환경,양송이버섯,,,,,,,,,,,,
155,유정란/친환경,상추,유기농저지방우유,쌈채소모음,,,,,,,,,,
156,두부,유정란/친환경,가지,양송이버섯,,,,,,,,,,
157,두부,동물복지유정란,,,,,,,,,,,,
158,두부,유정란/친환경,,,,,,,,,,,,
159,유정란/친환경,,,,,,,,,,,,,
160,두부,누룽지,누룽지,명태참어묵,당면,,,,,,,,,
161,당근,명태참어묵,당면,,,,,,,,,,,
162,동물복지유정란,,,,,,,,,,,,,
163,두부,콩나물,명태참어묵,찌개용두부,,,,,,,,,,
164,두부,명태참어묵,,,,,,,,,,,,
165,유정란/친환경,명태참어묵,찌개용두부,가지,,,,,,,,,,
166,두부,동물복지유정란,명태참어묵,,,,,,,,,,,
167,콩국물,두부,유정란/친환경,누룽지,명태참어묵,당면,,,,,,,,
168,두부,유정란/친환경,,,,,,,,,,,,
169,오이,찌개용두부,,,,,,,,,,,,
170,누룽지,누룽지,,,,,,,,,,,,
171,유정란/친환경,콩나물,,,,,,,,,,,,
172,오이,누룽지,찌개용두부,,,,,,,,,,,
173,두부,유정란/친환경,오이,명태참어묵,,,,,,,,,,
174,유정란/친환경,콩나물,당면,,,,,,,,,,,
175,당근,대파,,,,,,,,,,,,
176,대파,당면,,,,,,,,,,,,
177,월동무,양송이버섯,,,,,,,,,,,,
178,월동무,,,,,,,,,,,,,
179,두부,월동무,,,,,,,,,,,,
180,백미/유,대파,,,,,,,,,,,,
181,대파,감자라면,,,,,,,,,,,,
182,양파,브로컬리,,,,,,,,,,,,
183,양파,백미/유,,,,,,,,,,,,
184,양파,얼갈이,,,,,,,,,,,,
185,두부,무,,,,,,,,,,,,
186,유기농저지방우유,,,,,,,,,,,,,
187,백미/유,무,,,,,,,,,,,,
188,가지,,,,,,,,,,,,,
189,당근,,,,,,,,,,,,,
190,당면,,,,,,,,,,,,,
191,얼갈이,,,,,,,,,,,,,
192,유기농우유,,,,,,,,,,,,,
193,참기름,당근,,,,,,,,,,,,
194,브로컬리,,,,,,,,,,,,,
195,백미/유,,,,,,,,,,,,,
196,무,명태참어묵,찹쌀백미/유,양송이버섯,,,,,,,,,,
197,백미/유,중파,,,,,,,,,,,,
198,애호박,찌개용두부,,,,,,,,,,,,
199,콩나물,백미/유,누룽지,,,,,,,,,,,
200,양파,,,,,,,,,,,,,
201,백미/유,,,,,,,,,,,,,
202,닭가슴살,,,,,,,,,,,,,
203,닭가슴살,,,,,,,,,,,,,
