,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,유정란/친환경,,,,,,,,,,,,,,,,,,
1,두부,,,,,,,,,,,,,,,,,,
2,대파,,,,,,,,,,,,,,,,,,
3,참기름,월동무,,,,,,,,,,,,,,,,,
4,콩나물,찌개용두부,,,,,,,,,,,,,,,,,
5,참기름,,,,,,,,,,,,,,,,,,
6,두부,,,,,,,,,,,,,,,,,,
7,두부,,,,,,,,,,,,,,,,,,
8,두부,,,,,,,,,,,,,,,,,,
9,두부,팽이버섯,,,,,,,,,,,,,,,,,
10,참기름,,,,,,,,,,,,,,,,,,
11,상추,,,,,,,,,,,,,,,,,,
12,유정란/친환경,,,,,,,,,,,,,,,,,,
13,유정란/친환경,오분도미/유,상추,월동무,,,,,,,,,,,,,,,
14,도토리묵,,,,,,,,,,,,,,,,,,
15,상추,,,,,,,,,,,,,,,,,,
16,양파,,,,,,,,,,,,,,,,,,
17,월동무,대파,팽이버섯,,,,,,,,,,,,,,,,
18,유정란/친환경,월동무,찌개용두부,,,,,,,,,,,,,,,,
19,월동무,,,,,,,,,,,,,,,,,,
20,유기농저지방우유,당근,찌개용두부,,,,,,,,,,,,,,,,
21,양배추,,,,,,,,,,,,,,,,,,
22,명태참어묵,,,,,,,,,,,,,,,,,,
23,상추,,,,,,,,,,,,,,,,,,
24,양파,당근,,,,,,,,,,,,,,,,,
25,월동무,,,,,,,,,,,,,,,,,,
26,유기농저지방우유,,,,,,,,,,,,,,,,,,
27,유정란/친환경,,,,,,,,,,,,,,,,,,
28,상추,월동무,대파,,,,,,,,,,,,,,,,
29,대파,,,,,,,,,,,,,,,,,,
30,양파,,,,,,,,,,,,,,,,,,
31,사과/,브로컬리,,,,,,,,,,,,,,,,,
32,두부,유정란/친환경,대파,,,,,,,,,,,,,,,,
33,당근,,,,,,,,,,,,,,,,,,
34,부추,양배추,,,,,,,,,,,,,,,,,
35,상추,월동무,,,,,,,,,,,,,,,,,
36,월동무,중파,,,,,,,,,,,,,,,,,
37,참외,찌개용두부,,,,,,,,,,,,,,,,,
38,딸기/,유기농우유,중파,,,,,,,,,,,,,,,,
39,상추,애호박,브로컬리,얼갈이,깻잎,,,,,,,,,,,,,,
40,중파,,,,,,,,,,,,,,,,,,
41,오이,콩나물,,,,,,,,,,,,,,,,,
42,유정란/친환경,상추,중파,부추,,,,,,,,,,,,,,,
43,유정란/친환경,,,,,,,,,,,,,,,,,,
44,오이,사과/,상추,상추,당근,찌개용두부,,,,,,,,,,,,,
45,양파,오이,깻잎,,,,,,,,,,,,,,,,
46,유정란/친환경,,,,,,,,,,,,,,,,,,
47,오이,,,,,,,,,,,,,,,,,,
48,상추,완숙토마토,당근,,,,,,,,,,,,,,,,
49,유정란/친환경,오이,깻잎,당면,,,,,,,,,,,,,,,
50,콩국물,얼갈이,찌개용두부,,,,,,,,,,,,,,,,
51,유정란/친환경,양파,오이,상추,유기농우유,찌개용두부,깻잎,,,,,,,,,,,,
52,사과/,상추,애호박,당근,,,,,,,,,,,,,,,
53,오이,당근,중파,,,,,,,,,,,,,,,,
54,양파,상추,유기농우유,,,,,,,,,,,,,,,,
55,오이,,,,,,,,,,,,,,,,,,
56,오이,중파,,,,,,,,,,,,,,,,,
57,유정란/친환경,가지,도토리묵,,,,,,,,,,,,,,,,
58,브로컬리,얼갈이,중파,깻잎,,,,,,,,,,,,,,,
59,오이,유기농우유,얼음식혜,,,,,,,,,,,,,,,,
60,양파,상추,,,,,,,,,,,,,,,,,
61,콩국물,상추,유기농우유,깻잎,,,,,,,,,,,,,,,
62,오이,상추,애호박,완숙토마토,,,,,,,,,,,,,,,
63,양파,오이,참기름,유기농우유,,,,,,,,,,,,,,,
64,양파,,,,,,,,,,,,,,,,,,
65,오이,당근,유기농우유,깻잎,,,,,,,,,,,,,,,
66,유기농우유,찌개용두부,,,,,,,,,,,,,,,,,
67,완숙토마토,찌개용두부,,,,,,,,,,,,,,,,,
68,유정란/친환경,오이,당근,유기농우유,중파,,,,,,,,,,,,,,
69,유정란/친환경,애호박,유기농우유,,,,,,,,,,,,,,,,
70,사과,,,,,,,,,,,,,,,,,,
71,유기농우유,중파,구운도시락김,,,,,,,,,,,,,,,,
72,오이,당근,유기농우유,찌개용두부,사과,깻잎,,,,,,,,,,,,,
