,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,all-confidence,collective strength,cosine similarity
52,frozenset({'가지'}),frozenset({'오이'}),0.03358757259813869,0.07907074382478484,0.005597928766356448,0.16666666666666669,2.107817109144543,0.0029421344177526614,1.1051151074102583,0.543841865179929,{'오이 => 가지': 0.07079646017699115},3.07156060795275,0.10862508931871369
53,frozenset({'오이'}),frozenset({'가지'}),0.07907074382478484,0.03358757259813869,0.005597928766356448,0.07079646017699115,2.107817109144543,0.0029421344177526614,1.040043850442003,0.5707013144897805,{'오이 => 가지': 0.07079646017699115},3.07156060795275,0.10862508931871369
69,frozenset({'완숙토마토'}),frozenset({'오이'}),0.031768245749072846,0.07907074382478484,0.005038135889720803,0.15859030837004404,2.0056761919613266,0.002526197068333054,1.0945075452972453,0.5178667501786673,{'오이 => 완숙토마토': 0.06371681415929202},3.0617253747770605,0.1005229784968537
68,frozenset({'오이'}),frozenset({'완숙토마토'}),0.07907074382478484,0.031768245749072846,0.005038135889720803,0.06371681415929202,2.005676191961326,0.002526197068333054,1.0341227621016518,0.5444663948197113,{'오이 => 완숙토마토': 0.06371681415929202},3.0617253747770605,0.1005229784968537
35,frozenset({'중파'}),frozenset({'오이'}),0.04940172136309565,0.07907074382478484,0.007207333286683927,0.14589235127478756,1.845086364661937,0.0033011024322791905,1.0782355801985106,0.48182282714730335,{'오이 => 중파': 0.0911504424778761},3.0733356096719153,0.11531761518881066
34,frozenset({'오이'}),frozenset({'중파'}),0.07907074382478484,0.04940172136309565,0.007207333286683927,0.0911504424778761,1.8450863646619367,0.0033011024322791905,1.0459357885683562,0.497345422596772,{'오이 => 중파': 0.0911504424778761},3.0733356096719153,0.11531761518881066
56,frozenset({'당근'}),frozenset({'양파'}),0.05660905464977958,0.06689524875795956,0.005457980547197537,0.09641532756489493,1.4412881236714574,0.001671103754447604,1.0326699640968682,0.32454859090373095,{'양파 => 당근': 0.0815899581589958},3.0373583862029028,0.08869341881958126
57,frozenset({'양파'}),frozenset({'당근'}),0.06689524875795956,0.05660905464977958,0.005457980547197537,0.0815899581589958,1.4412881236714574,0.001671103754447604,1.0272001637298527,0.3281262919058193,{'양파 => 당근': 0.0815899581589958},3.0373583862029028,0.08869341881958126
66,frozenset({'당근'}),frozenset({'오이'}),0.05660905464977958,0.07907074382478484,0.005108109999300259,0.09023485784919655,1.1411914632945732,0.0006319899409242928,1.0122714242469415,0.13114695799371248,{'오이 => 당근': 0.06460176991150443},3.012983870682278,0.07635005910129411
67,frozenset({'오이'}),frozenset({'당근'}),0.07907074382478484,0.05660905464977958,0.005108109999300259,0.06460176991150443,1.1411914632945732,0.0006319899409242928,1.00854471924858,0.13434566428624206,{'오이 => 당근': 0.06460176991150443},3.012983870682278,0.07635005910129411
