,antecedents,consequents,lift,antecedents,consequents,lift,antecedents,consequents,lift,antecedents,consequents,lift,antecedents,consequents,lift
19,({'양파'}),({'당근'}),1.5084832932238288,({'오이'}),({'유정란/친환경'}),0.7483115727793925,({'유정란/친환경'}),({'당근'}),0.8641757522933705,({'유정란/친환경'}),({'당근'}),0.8247549168478723,({'중파'}),({'유정란/친환경'}),0.9234956423733696
18,({'당근'}),({'양파'}),1.5084832932238288,({'유정란/친환경'}),({'오이'}),0.7483115727793926,({'당근'}),({'유정란/친환경'}),0.8641757522933705,({'당근'}),({'유정란/친환경'}),0.8247549168478722,({'유정란/친환경'}),({'중파'}),0.9234956423733696
39,({'유정란/친환경'}),({'구운도시락김'}),1.1679274259387185,({'백미/유'}),({'유정란/친환경'}),0.7508001045879332,({'시금치'}),({'두부'}),0.9208062060117744,({'두부'}),({'대파'}),0.8155316463304682,({'두부'}),({'양배추'}),0.6986744064461801
38,({'구운도시락김'}),({'유정란/친환경'}),1.1679274259387185,({'유정란/친환경'}),({'백미/유'}),0.7508001045879332,({'두부'}),({'시금치'}),0.9208062060117744,({'대파'}),({'두부'}),0.8155316463304682,({'양배추'}),({'두부'}),0.6986744064461801
27,({'당근'}),({'콩나물'}),1.1380704489601776,({'유정란/친환경'}),({'유기농우유'}),0.823561394565274,({'두부'}),({'찌개용두부'}),0.5085695633440075,({'두부'}),({'찌개용두부'}),0.5328616644945076,({'유정란/친환경'}),({'양배추'}),0.8472830443767223
26,({'콩나물'}),({'당근'}),1.1380704489601776,({'유기농우유'}),({'유정란/친환경'}),0.823561394565274,({'찌개용두부'}),({'두부'}),0.5085695633440075,({'찌개용두부'}),({'두부'}),0.5328616644945076,({'양배추'}),({'유정란/친환경'}),0.8472830443767224
25,({'시금치'}),({'두부'}),1.0176190998000163,({'두부'}),({'오이'}),0.7264228690227644,({'두부'}),({'당근'}),0.7829892830283539,({'중파'}),({'유정란/친환경'}),0.8167840731078999,({'두부'}),({'당근'}),0.6942328951214295
24,({'두부'}),({'시금치'}),1.0176190998000163,({'오이'}),({'두부'}),0.7264228690227644,({'당근'}),({'두부'}),0.7829892830283539,({'유정란/친환경'}),({'중파'}),0.8167840731078998,({'당근'}),({'두부'}),0.6942328951214295
2,({'콩나물'}),({'두부'}),1.0117230543303568,({'콩나물'}),({'두부'}),1.0902882155366305,({'콩나물'}),({'두부'}),1.0781869510424544,({'콩나물'}),({'두부'}),1.0359960394774663,({'콩나물'}),({'두부'}),0.9603680399891372
3,({'두부'}),({'콩나물'}),1.0117230543303568,({'두부'}),({'콩나물'}),1.0902882155366305,({'두부'}),({'콩나물'}),1.0781869510424544,({'두부'}),({'콩나물'}),1.0359960394774663,({'두부'}),({'콩나물'}),0.9603680399891372
43,({'찌개용두부'}),({'콩나물'}),1.0111107439798688,({'구운김밥김'}),({'단무지'}),8.078934728450424,({'애호박'}),({'유정란/친환경'}),0.9631399785847308,({'유정란/친환경'}),({'양배추'}),0.8008807529574302,({'유정란/친환경'}),({'가지'}),0.9188555294643856
42,({'콩나물'}),({'찌개용두부'}),1.0111107439798688,({'단무지'}),({'구운김밥김'}),8.078934728450424,({'유정란/친환경'}),({'애호박'}),0.9631399785847308,({'양배추'}),({'유정란/친환경'}),0.8008807529574302,({'가지'}),({'유정란/친환경'}),0.9188555294643856
16,({'두부'}),({'팽이버섯'}),1.005486424018864,({'당근'}),({'유정란/친환경'}),0.7089880338000009,({'콩나물'}),({'찌개용두부'}),1.0746172160924283,({'오이'}),({'두부'}),0.7651842017922337,({'당근'}),({'유정란/친환경'}),0.8296218033536668
17,({'팽이버섯'}),({'두부'}),1.005486424018864,({'유정란/친환경'}),({'당근'}),0.7089880338000009,({'찌개용두부'}),({'콩나물'}),1.0746172160924283,({'두부'}),({'오이'}),0.7651842017922336,({'유정란/친환경'}),({'당근'}),0.8296218033536669
23,({'유정란/친환경'}),({'유기농우유'}),0.9676588694541082,({'찌개용두부'}),({'콩나물'}),1.0603259139956993,({'중파'}),({'유정란/친환경'}),0.8483304987252269,({'중파'}),({'두부'}),0.8413287578495225,({'두부'}),({'찌개용두부'}),0.439715861073049
22,({'유기농우유'}),({'유정란/친환경'}),0.9676588694541082,({'콩나물'}),({'찌개용두부'}),1.0603259139956993,({'유정란/친환경'}),({'중파'}),0.8483304987252269,({'두부'}),({'중파'}),0.8413287578495225,({'찌개용두부'}),({'두부'}),0.439715861073049
33,({'양파'}),({'콩나물'}),0.9084165542843444,({'당근'}),({'콩나물'}),0.9769922328909546,({'팽이버섯'}),({'두부'}),1.090971228143261,({'유정란/친환경'}),({'대파'}),0.8648671312252101,({'유정란/친환경'}),({'브로컬리'}),0.8055219763231296
